Chemical.Number,Chemical.Name,Chemical.CAS,Chemical.Class,Peak_Frequency_up,Peak_Frequency_dn,Peak_Decay_Rise_Ratio_up,Peak_Frequency_zero,Total_Cells_zero,Risk.lable
263,"2,4-Bis(1-methyl-1-phenylethyl)phenol",2772-45-4,Chemical intermediate,0.341092,718.93,857.8295,24663.9,1476.4,
264,Clotrimazole,23593-75-1,Microbiocide,108.364,373.574,18.07255,19075.75,2104.3,
265,Tetrabromophenolphthalein_ethyl_ester,1176-74-5,Chemical intermediate,278.7645,8.34076,10.85485,2573.4,1558.505,
266,Sulisobenzone,4065-45-6,Food flavor fragrance,37.01565,1000,300.008,40691.65,3383.245,
267,Kepone,143-50-0,Pesticide,0.244427,119.034,187.626,4538.46,313.3175,
268,8-Hydroxyquinoline,148-24-3,Pesticide,37.6902,1000,58.3716,38841.1,2887.275,
269,Acephate,30560-19-1,Pesticide,104.0755,1000,690.305,36808.15,1835.71,
270,Prometon,1610-18-0,Herbicide,1.03535,943.251,31.81565,23449.35,228.3835,
271,"N,N-Dimethyldecylamine_oxide",2605-79-0,Surfactant,15.2605,1000,181.8945,34029.75,1045.41,
272,"N,N,4-Trimethylaniline",99-97-8,Dye,1422.595,19.23725,11.7549,856.9495,432.994,
273,"3,3'-Dimethoxybenzidine_dihydrochloride",20325-40-0,Chemical intermediate,59.76095,27.1916,256.2385,323.1435,33.94105,
274,Fenarimol,60168-88-9,Microbiocide,27.3984,95.25045,4.634645,6781.22,55.20125,
275,2-Naphthylamine,91-59-8,Chemical intermediate,56.30745,966.287,23.7985,33232.1,2693.23,
276,Pyridoxine,65-23-6,Food flavor fragrance,38.9281,1104.775,1000,38908.3,3261.855,
277,Tributylamine,102-82-9,Chemical intermediate,127.6865,1050.505,1149.82,43154.15,3546.97,
278,L-Tartaric_acid,87-69-4,Food flavor fragrance,0.495771,1326.935,882.49,38762.4,3905.35,
279,Isopentyl_butyrate,106-27-4,Food flavor fragrance,808.5905,1000,1047.12,48568.55,1822.45,
280,Carbosulfan,55285-14-8,Pesticide,13.38645,1513.225,390.845,47010.1,3155.245,
281,Undecane,1120-21-4,Chemical intermediate,1000,658.9305,1467.45,54401,1584.355,
282,"1,1'-Oxybis[2,3,4,5,6-pentabromobenzene]",1163-19-5,Flame retardant,138.243,142.3415,417.173,1857.74,2038.18,
283,Chloromethyl_methyl_ether,107-30-2,Solvent,21.9206,1151.425,293.484,38287.8,3038.715,
284,Thidiazuron,51707-55-2,Herbicide,343.434,19.5185,1.205555,1313.48,1477.24,
285,Octanoic_acid,124-07-2,Chemical intermediate,44.3945,1276.97,289.7555,49062.05,2727.785,
286,"4,4'-Diamino-3,3'-dimethyldiphenylmethane",838-88-0,Chemical intermediate,11.70105,205.599,8.756615,10764.35,175.4015,
287,"1,2-Benzisothiazolin-3-one",2634-33-5,Microbiocide,4.726335,218.859,110.7075,9020.27,464.8145,
288,Benzal_chloride,98-87-3,Chemical intermediate,0.0766564,1000,106.2435,44467.65,2849.105,
289,2-Butoxyethanol,111-76-2,Solvent,121.3595,1342.685,1.79362,49022.95,2812.6,
290,Propyzamide,23950-58-5,Herbicide,421.63,403.963,22.9175,21899.55,633.321,
291,Chlorendic_acid,115-28-6,Herbicide,235.799,427.476,1.16534,32577.9,387.292,
292,Dimethomorph,110488-70-5,Microbiocide,20.10795,291.046,0.6603015,15362.75,52.32695,
293,Dimethenamid,87674-68-8,Herbicide,0.513857,304.5025,142.1755,7722.12,10.662,
294,"4,4',4''-Ethane-1,1,1-triyltriphenol",27955-94-8,Plasticizer,0.7833255,50.22695,51.89345,3075.1,3.935675,
295,"Dipropyl_2,5-pyridinedicarboxylate",136-45-8,Pesticide,16.0009,1644.285,133.4195,49435.35,148.6695,
296,Perfluoroundecanoic_acid,2058-94-8,Surfactant,377.736,855.767,1000,49176,501.583,
297,Resorcinol,108-46-3,Chemical intermediate,295.3105,994.3595,474.341,46959.25,1101.76,
298,Nitrofurantoin,67-20-9,Pharmaceutical,1002.205,37.91675,633.38,4671.935,2977.13,
299,Benzyl-C8-18-alkyldimethylammonium_chlorides,63449-41-2,Microbiocide,96.53515,0.237098,0.1768715,8.85655,266.369,
300,Pentadecane,629-62-9,Solvent,196.9675,1207.58,0.1220235,44984.4,1617.23,
301,"N,N-Dimethylaniline",121-69-7,Chemical intermediate,10.21095,1254.025,1000,40557.8,1793.785,
302,2-Methoxy-5-methylaniline,120-71-8,Chemical intermediate,86.02145,1227.865,163.4995,49796.95,512.54,
303,Propofol,2078-54-8,Pharmaceutical,107.217,183.9615,0.0194401,7734.62,1184.64,Known
304,"2,5-Dimethyl-2,5-di-(tert-butylperoxy)hexane",78-63-7,Plasticizer,0.734727,1404.05,1000,50401.95,1226.655,
305,Imazaquin,81335-37-7,Herbicide,122.0125,1000,479.7715,55945.7,3977.915,
306,(6)-Gingerol,23513-14-6,Food flavor fragrance,32.3943,212.559,809.1,6464.845,1147.025,
307,"2,4-Dihydroxybenzophenone",131-56-6,Plasticizer,104.379,214.4335,68.12265,7556.545,533.8775,
308,"2,4-Dimethylphenol",105-67-9,Food flavor fragrance,11.03135,1215.93,1077.025,47871.95,3069.505,
309,Benzyl_alcohol,100-51-6,Food flavor fragrance,27.51095,1841.795,117.491,43377.2,1260.98,
310,CJ-013610,249296-43-3,Pharmaceutical,5.69E-05,67.29175,12.68085,2367.885,113.6935,
311,2-Ethoxyethanol,110-80-5,Solvent,10.18425,1704.735,101.708,56961.7,1187.155,
312,Sodium_saccharin_hydrate,82385-42-0,Food flavor fragrance,2.33878,1550.765,331.9645,45520.25,2704.18,
313,Nitrilotriacetic_acid,139-13-9,Chemical intermediate,1000,631.5705,39.5189,42882.6,2282.495,
314,"1,4-Dibromobenzene",106-37-6,Chemical intermediate,886.374,619.8025,275.9715,52191.3,430.9415,
315,Propylparaben,94-13-3,Microbiocide,57.51295,18.5802,88.1892,111.136,68.68345,
316,Sucrose_octaacetate,126-14-7,Food flavor fragrance,8.081275,1668.945,1000,42626.6,297.708,
317,Bis(2-ethylhexyl)_nonanedioate,103-24-2,Plasticizer,779.077,989.932,1000,57313.85,605.521,
318,"1,5-Naphthalenediamine",2243-62-1,Chemical intermediate,1000,0.399924,989.05,139708,679.9215,
319,2-Methoxyethanol,109-86-4,Solvent,948.0125,936.6885,1259.645,37472.6,2314.69,
320,Phenothiazine,92-84-2,Chemical intermediate,16.5672,202.69,150.855,6915.235,355.7115,
321,Aspirin,50-78-2,Pharmaceutical,445.278,1024.24,470.5185,49182.8,3602.83,
322,Styrene_oxide,96-09-3,Chemical intermediate,98.65435,1429.56,1564.295,42124.25,2384.32,
323,Diisopropyl_methylphosphonate,1445-75-6,Chemical intermediate,10.0695,1625.69,802.7535,41029.55,397.438,
324,Octadecanoic_acid,57-11-4,Food flavor fragrance,60.8183,1074.12,1000,37749.55,1408.12,
325,2-Methylaniline,95-53-4,Chemical intermediate,1000,351.9925,1000,54250.7,2081.095,
326,Dapsone,80-08-0,Pharmaceutical,71.21175,0.388698,35.07535,11707.2,877.71,
327,Azamethiphos,35575-96-3,Pesticide,1000,33.2221,149.083,954.061,1310.995,
328,Imazapic,104098-48-8,Herbicide,1000,106.2245,153.3935,2283.345,1993.005,
329,Ammonium_carbamate,1111-78-0,Chemical intermediate,971.9325,147.422,6.09378,4130.48,3191.54,
330,Diphenyl_isophthalate,744-45-6,Plasticizer,1369.77,3.676435,29.1161,75290.6,4095.445,
331,Cyproconazole,94361-06-5,Microbiocide,97.84165,0.01890315,5.1573,390.64,525.5,
332,Methyl_isothiocyanate,556-61-6,Pesticide,662.6905,928.983,107.361,34085.9,3492.63,
333,4-tert-Butylphenol,98-54-4,Plasticizer,50.12505,30.88605,52.8891,181.963,438.1345,
334,Isoproterenol_hydrochloride,51-30-9,Pharmaceutical,0.000196694,2186.885,392.6715,47477,2460.66,Drug has a Special Risk for patients with congenital Long QT
335,Monobutyl_phthalate,131-70-4,Plasticizer,33.2291,324.083,60.30305,4008.255,1138.935,
336,p-Cymene,99-87-6,Food flavor fragrance,45.73095,1000,1000,32165.25,1777.465,
337,Dazomet,533-74-4,Herbicide,41.40735,280.8995,140.9565,36730.4,826.7385,
338,FD&C_Blue_No._1,3844-45-9,Dye,237.882,905.445,308.5865,58554.45,1717.57,
339,Diethanolamine,111-42-2,Surfactant,113.1095,257.1725,147.737,66193.1,1840.73,
340,Triethyl_citrate,77-93-0,Plasticizer,73.52255,1000,219.1315,8900.95,3647.27,
341,Butanoic_acid,107-92-6,Food flavor fragrance,438.465,1000,202.5825,39364.45,3426.685,
342,Phenylmercuric_acetate,62-38-4,Microbiocide,0.000499207,24.14005,51.2012,615.883,100.634,
343,Phenol_red,143-74-8,Dye,27.3091,250.258,11.94775,25870.8,1428.495,
344,Ziram,137-30-4,Microbiocide,33.72295,112.0475,14.0554,4785.56,400.723,
345,Z-Tetrachlorvinphos,22248-79-9,Pesticide,0.7258545,14.12925,101.1925,76.59845,314.8535,
346,2-Butanone_oxime,96-29-7,Chemical intermediate,317.7015,1000,257.466,42205.3,2239.88,
347,Azathioprine,446-86-6,Pharmaceutical,7.87977,245.717,364.72,1190.65,2028.135,
348,Benzophenone,119-61-9,Food flavor fragrance,13.2466,27.00695,0.002309745,317.8285,1389.86,
349,2-Mercaptobenzothiazole,149-30-4,Microbiocide,15.6856,1054.02,1000,44700.2,2279.715,
350,PK_11195,85532-75-8,Pharmaceutical,3.212775,5.93346,1.284255,68.0268,45.9437,
351,Triphenyl_phosphite,101-02-0,Chemical intermediate,185.7285,303.0995,1000,4193.83,972.095,
352,"(2Z)-3,7-Dimethylocta-2,6-dien-1-ol",106-25-2,Food flavor fragrance,15.19205,701.4875,492.0795,36909.5,922.516,
353,Ethylene_thiourea,96-45-7,Chemical intermediate,67.24725,1445.245,1013.17,42316.9,1868.195,
354,Cycloheximide,66-81-9,Microbiocide,366.576,1000,1000,48643.7,3100.38,
355,4-Aminofolic_acid,54-62-6,Pesticide,7.40172,1205.99,1000,44411.45,2200.455,
356,Hexachlorophene,70-30-4,Pesticide,0.05402275,37.59095,27.5848,1703.75,3.86435,
357,2-tert-Butylphenol,88-18-6,Chemical intermediate,0.00674985,249.151,6.70049,6768.715,32.16475,
358,Chlorpropham,101-21-3,Herbicide,0.529761,42.5847,6.64623,339.9655,9.51479,
359,delta-Hexachlorocyclohexane,319-86-8,Pesticide,5.75125,150.622,3.85948,8621.5,4.322815,
360,Diflubenzuron,35367-38-5,Pesticide,1.20661,314.787,870.475,1837.84,200.756,
361,Rifampicin,13292-46-1,Pharmaceutical,1774.28,71.4502,1599.715,905.854,161.696,
362,Fluometuron,2164-17-2,Herbicide,7.519645,1358.255,12.86045,39345.4,379.224,
363,Tepraloxydim,149979-41-9,Herbicide,92.6433,725.3975,372.043,7717.15,2594.745,
364,Phenazone,60-80-0,Pharmaceutical,769.064,321.386,1048.185,1920.44,2920.31,
365,"1,2-Phenylenediamine",95-54-5,Chemical intermediate,42.3823,183.233,34.8108,37735.95,1186.415,
366,"4-(1,1,3,3-Tetramethylbutyl)phenol",140-66-9,Chemical intermediate,13.17855,2.948265,30.78095,57.59685,28.04785,
367,Butyl_benzoate,136-60-7,Food flavor fragrance,201.361,1000,814.211,43850.6,924.692,
368,2-tert-Butyl-4-methoxyphenol,121-00-6,Microbiocide,8.61543,141.5025,6.490735,6358.8,363.709,
369,Butylparaben,94-26-8,Microbiocide,17.60535,19.425,2.75138,121.896,431.6075,
370,Famotidine,76824-35-6,Pharmaceutical,682.429,70.4225,0.00096289,8046.39,1933.43,Conditional
371,Quinalphos,13593-03-8,Pesticide,2.188755,25.98035,0.01125505,459.1235,282.301,
372,Triisononyl_trimellitate,53894-23-8,Plasticizer,1000,684.861,0.3538625,50904.8,1973.89,
373,Di(propylene_glycol)_dibenzoate,27138-31-4,Plasticizer,7.095725,23.4372,6.82507,206.189,1375.66,
374,Diazoxon,962-58-3,Pesticide,702.5015,1000,0.0402497,67418.65,1055.295,
375,Ethylene_glycol,107-21-1,Chemical intermediate,0.2217085,1399.32,1000,54592.65,3331.56,
376,2-Ethyl-1-hexanol,104-76-7,Chemical intermediate,5.269025,1030.245,0.00777314,40517.85,2508.035,
377,"2,4-Dinitrotoluene",121-14-2,Chemical intermediate,28.01915,85.7895,1.56433,21216.25,1687.875,
378,Didecyldimethylammonium_chloride,7173-51-5,Microbiocide,29.58595,0.0422265,0.05616995,587.2785,27.10355,
379,3-Hydroxyfluorene,6344-67-8,PAH,0.02893175,201.3895,32.70375,8014.355,29.4897,
380,Dexamethasone,50-02-2,Pharmaceutical,28.08765,327.7755,1995.65,2539.22,186.487,
381,Potassium_perfluorobutanesulfonate,29420-49-3,Flame retardant,1215.76,116.2285,101.764,30284.55,125.6125,
382,Deisopropylatrazine,1007-28-9,Herbicide,1.950015,1564.94,111.2955,43724.4,202.9625,
383,Zamifenacin,127308-82-1,Pharmaceutical,48.1446,0.2406745,0.12022,73.1798,22.2145,
384,Tebufenpyrad,119168-77-3,Pesticide,9.67938,0.000123149,0.08155975,86.33955,0.4119515,
385,Strychnine,57-24-9,Pesticide,105.291,1.265025,2.94005,12842.3,3481.53,
386,Tribufos,78-48-8,Pesticide,1.58694,1501.29,139.807,46105.3,1880.63,
387,Aldicarb,116-06-3,Pesticide,267.47,112.3545,1000,1265.01,397.289,
388,Trifloxystrobin,141517-21-7,Microbiocide,75.9742,4.631335,4.89494,382.9275,21.98715,
389,Oxytetracycline_hydrochloride,2058-46-0,Pharmaceutical,1508.1,16.13475,917.8505,12231.55,4147.27,
390,Dibenzofuran,132-64-9,Food flavor fragrance,102.2745,316.157,43.6531,47757.35,1739.735,
391,Clopyralid,1702-17-6,Herbicide,417.117,0.0642179,5.782235,8824.145,575.1025,
392,Isophorone,78-59-1,Solvent,12.84795,1286.245,172.029,37941.45,2151.655,
393,Metoprolol,51384-51-1,CiPA pharmaceutical,357.8675,16.53125,14.6085,134.573,2554.225,
394,Zileuton,111406-87-2,Pharmaceutical,181.7685,71.9051,12.71935,6293.495,393.794,
395,Diltiazem_hydrochloride,33286-22-5,CiPA pharmaceutical,0.002338125,22.6296,24.45825,1420.64,63.97885,Conditional
396,Glycidyl_trimethylammonium_chloride,3033-77-0,Surfactant,514.8145,150.603,63.1378,23523.35,3454.14,
397,Sulfotepp,3689-24-5,Pesticide,4.02014,241.3815,38.40505,10064.45,532.962,
398,Diethyl_phthalate,84-66-2,Plasticizer,12.40625,1000,0.116942,466.809,441.679,
399,Isophorone_diisocyanate,4098-71-9,Chemical intermediate,7.48434,721.668,509.215,9550.98,1001.3135,
400,"3,3'-Dimethylbenzidine",119-93-7,Chemical intermediate,1.90884,31.25415,0.119638,205.365,278.432,
401,Terbacil,5902-51-2,Herbicide,12.7142,967.933,981.5295,33645.55,1724.33,
402,Dimethoate,60-51-5,Pesticide,22.5705,70.9422,382.016,1369.935,1793.02,
403,Bifenazate,149877-41-8,Pesticide,3.927635,60.73645,1000,1512.92,501.592,
404,Monocrotophos,6923-22-4,Pesticide,101.188,1000,12.58915,41049.3,3060.54,
405,Quinoxyfen,124495-18-7,Herbicide,9.65785,381.836,676.9465,33482.7,2366.97,
406,Tridemorph,24602-86-6,Microbiocide,67.1096,32.4884,109.3615,196.7855,1708.12,
407,"2-Methyl-2,4-pentanediol",107-41-5,Solvent,2.27656,1247.335,854.775,35842.95,1856.06,
408,Allyl_alcohol,107-18-6,Chemical intermediate,3.49496,125.224,107.8705,4209.705,3933.49,
409,"Adipic_acid,_polypropyleneglycol,_laurate",66456-53-9,Surfactant,64.3897,323.5415,429.204,2349.34,443.4595,
410,Triadimenol,55219-65-3,Microbiocide,15.35595,188.8425,85.8996,7085.335,482.443,
411,Myclobutanil,88671-89-0,Pesticide,126.3665,0.04570895,0.7186895,50.7699,349.004,
412,Thiobencarb,28249-77-6,Herbicide,7.139165,0.220756,2.53203,479.9005,214.1655,
413,DEET,134-62-3,Pesticide,24.808,1000,956.763,2193.675,1505.025,
414,EPTC,759-94-4,Herbicide,547.0665,1000,456.8985,39641.05,1550.75,
415,Thiram,137-26-8,Microbiocide,218.5665,360.6555,1265.565,28988.9,2625.87,
416,"2,6-Dimethylaniline",87-62-7,Chemical intermediate,0.027412,1343.385,1000,40242.95,2172.395,
417,Methyl_ethyl_ketone,78-93-3,Food flavor fragrance,3.772895,1410.455,1047.11,52857.7,3738.26,
418,all-trans-Retinoic_acid,302-79-4,Pharmaceutical,6.27362,588.619,876.56,19195.95,1397.995,
419,Genistein,446-72-0,Food flavor fragrance,0.044073,34.7132,12.1921,274.1695,443.0145,
420,Triphenyl_phosphate,115-86-6,Flame retardant,0.1129295,218.4365,0.458068,8494.595,198.266,
421,"N,N-Dimethyloctylamine",7378-99-6,Chemical intermediate,1649.875,7.14277,10.5465,33139.3,332.745,
422,Tri-allate,2303-17-5,Herbicide,1.851855,1107.16,29.52815,51203.65,737.0985,
423,"2,2',4,4'-Tetrahydroxybenzophenone",131-55-5,Food flavor fragrance,0.298849,74.272,225.0825,3284.59,9.550715,
424,Triethylene_glycol_dimethyl_ether,112-49-2,Solvent,1.606585,1462.08,1481.05,43682.95,67.65905,
425,Cladribine,4291-63-8,Pharmaceutical,1.525465,1657.22,272.6585,48728.9,202.274,
426,Fluroxypyr-meptyl,81406-37-3,Herbicide,0.2462625,626.909,104.8055,30768.15,864.957,
427,Tetraconazole,112281-77-3,Microbiocide,0.183773,3.781135,1.64981,29.17285,11.6673,
428,Aldicarb_oxime,1646-75-9,Pesticide,28.71375,1349.665,126.045,36182.5,2938.22,
429,N-Ethyl-3-methylaniline,102-27-2,Chemical intermediate,3.44394,2015.3,1376.1,46395,3332.395,
430,Methacrylonitrile,126-98-7,Chemical intermediate,115.8965,1479.63,178.5405,44219.4,3027.83,
431,Butam,35256-85-0,Herbicide,62.77065,15.21915,5.598145,299.536,276.533,
432,Chlorpromazine_hydrochloride,69-09-0,CiPA pharmaceutical,14.5838,15.897,0.5175435,2379.01,11.64625,Known
433,Clove_leaf_oil,8000-34-8,Food flavor fragrance,6.80296,44.2754,26.05395,464.1235,187.231,
434,Symclosene,87-90-1,Herbicide,10.18615,258.358,1000,1373.975,586.61,
435,Diethylstilbestrol,56-53-1,Pharmaceutical,3.96351,0.799244,27.1317,5538.27,87.506,
436,"Fenpyroximate_(Z,E)",111812-58-9,Pesticide,0.0298201,0.0351782,0.0259773,36.5585,0.00479488,
437,Bensulide,741-58-2,Herbicide,1.747765,15.17205,1.84386,89.3117,431.095,
438,Iodosulfuron-methyl-sodium,144550-36-7,Herbicide,218.958,1.75332,0.05131175,46442.5,1937.565,
439,Fenoxaprop-P-ethyl,71283-80-2,Herbicide,162.042,980.165,762.843,26831.75,1697.925,
440,3'-Azido-3'-deoxythymidine,30516-87-1,Pharmaceutical,7.57842,1710.715,154.0865,49021.4,2072.785,
441,"1,2,3,4,5,6-Hexachlorocyclohexane",608-73-1,Pesticide,3.05658,194.6285,53.2424,9305.38,463.5215,
442,Butylphthalyl_butylglycolate,85-70-1,Plasticizer,7.181245,239.2325,303.81,1656.865,1568.505,
443,p-Cresol,106-44-5,Chemical intermediate,34.79965,1628.04,507.845,53045.4,2234.24,
444,Diethylene_glycol_dimethyl_ether,111-96-6,Solvent,3.23747,1154.045,278.3885,37967.35,1202.775,
445,Fipronil,120068-37-3,Pesticide,55.3049,117.847,51.34435,6377.005,33.463,
446,Ibuprofen,15687-27-1,Pharmaceutical,600.353,1000,1154.59,48465.55,177.446,
447,Potassium_perfluorohexanesulfonate,3871-99-6,Flame retardant,1169.865,19.2161,1000,1724.765,640.4125,
448,N-Methyl-2-pyrrolidone,872-50-4,Solvent,40.24295,1338.685,348.092,43652,1781.645,
449,Diethyl_sulfate,64-67-5,Chemical intermediate,7.490455,1171.715,1000,42784.95,1889.39,
450,Dichlorprop,120-36-5,Herbicide,0.4360355,398.528,128.2085,26302.55,2679.135,
451,Ethyl_heptanoate,106-30-9,Food flavor fragrance,9.710985,1260,39.35375,48982.4,3487.3,
452,beta-Hexachlorocyclohexane,319-85-7,Pesticide,136.7075,1277.9,872.167,43728,1267.01,
453,"2,4,6-Trichlorophenol",88-06-2,Herbicide,712.4145,65.7349,20.1407,3183.315,1422.045,
454,Fomesafen,72178-02-0,Herbicide,1322.945,17.08355,883.8305,6474.665,1014.49,
455,Triethylene_glycol_diacetate,111-21-7,Plasticizer,36.81735,1221.195,799.118,38132.4,2258.665,
456,"1,2-Dibromoethane",106-93-4,Chemical intermediate,79.91855,0.01852825,62.3885,166264,337.926,
457,Tacrine,321-64-2,Pharmaceutical,110.886,0.7118275,0.3018055,139.221,92.58825,
458,Chlorpyrifos-methyl,5598-13-0,Pesticide,1421.955,12.96175,62.0453,769.7155,3134.64,
459,FD&C_Green_No._3,2353-45-9,Dye,325.427,1000,747.3085,27916.85,3543.9,
460,"p,p'-DDD",72-54-8,Pesticide,2.260555,8.7214,0.4045245,173.1305,1407.82,
461,"2,4-Di-tert-butylphenol",96-76-4,Chemical intermediate,5.21376,11.93205,13.9567,98.942,452.0085,
462,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",119-47-1,Chemical intermediate,0.7013305,200.905,0.4605155,7804.115,1458.39,
463,Quizalofop-ethyl,76578-14-8,Herbicide,1.147435,1000,933.214,35394.05,2724.8,
464,"3,3'-Dimethoxybenzidine",119-90-4,Chemical intermediate,875.577,53.35415,1100.445,7213.28,337.9475,
465,Glybenclamide,10238-21-8,Pharmaceutical,905.7865,37.5228,57.86165,30254.5,897.459,
466,"4,4'-Dibromodiphenyl_ether",2050-47-7,Flame retardant,2.47658,1776.025,171.4235,46819,771.9335,
467,Cyclosporin_A,59865-13-3,Pharmaceutical,101.5015,4.63866,11.9537,1421.485,162.0765,
468,Nicotine,54-11-5,Food flavor fragrance,1000,63.56965,103.3875,4792.03,988.2625,
469,"1H,1H,2H,2H-Perfluorooctyl_iodide",2043-57-4,Surfactant,4.368145,1000,18.31225,6420.94,676.05,
470,MEHP,4376-20-9,Plasticizer,558.1805,1000,43.49465,829871.5,3379.275,
471,Fluoranthene,206-44-0,PAH,122.4065,65.46215,538.661,468.7695,2417.19,
472,Ethanolamine,141-43-5,Chemical intermediate,72.93115,1000,295.481,84130.05,3307.15,
473,Urethane,51-79-6,Chemical intermediate,268.32,667.124,41.05595,28912.9,2853.925,
474,Methoxyfenozide,161050-58-4,Pesticide,10.59805,51.68695,51.44365,490.005,2043.465,
475,10-Undecenoic_acid,112-38-9,Microbiocide,643.6965,1000,388.5005,43999.5,2681.02,
476,Denatonium_saccharide,90823-38-4,Pesticide,198.593,0.4813495,0.617416,88.8999,398.5525,
477,"1,2-Dimethyl-4-nitrobenzene",99-51-4,Chemical intermediate,707.031,0.1387235,55.9992,1762.82,928.236,
478,Perfluoroheptanoic_acid,375-85-9,Surfactant,29.85475,0.514343,1000,4655.685,981.9975,
479,Resveratrol,501-36-0,Food flavor fragrance,58.7259,167.3015,167.6575,7484.93,55.24375,
480,"1,3-Diisopropylbenzene",99-62-7,Solvent,55.539,183.0015,22.31455,3022.725,353.597,
481,Perfluorononanoic_acid,375-95-1,Surfactant,377.3355,411.4875,38.14935,25360.3,632.058,
482,Bromophenol_blue,115-39-9,Dye,351.647,24.94615,1000,2255.7,2478.085,
483,Tamoxifen_citrate,54965-24-1,CiPA pharmaceutical,13.39445,13.59595,315.4195,58.85995,438.4975,
484,"4-Nonylphenol,_branched",84852-15-3,Surfactant,0.944763,32.8548,77.36125,377.479,206.858,
485,Fluroxypyr,69377-81-7,Herbicide,154.631,199.4655,1000,1301.61,257.383,
486,Zoxamide,156052-68-5,Microbiocide,5.11218,33.41675,4.32856,736.333,35.2301,
487,Oxadiazon,19666-30-9,Herbicide,0.5822905,798.865,5.90686,23019.7,195.3285,
488,Bis(2-ethylhexyl)_decanedioate,122-62-3,Plasticizer,0.0989561,1351.965,1000,47754.45,38.8231,
489,Mecoprop,93-65-2,Herbicide,0.9163765,1288.6,1661.55,44198.2,35.9386,
490,p-Xylenol_blue,125-31-5,Dye,56.56515,911.9955,1000,18600.2,1024.84,
491,Fenamiphos,22224-92-6,Pesticide,0.14263,169.1535,45.018,4694.235,100.01405,
492,Norflurazon,27314-13-2,Herbicide,1.72415,954.7805,1041.85,31935.9,1554.195,
493,Furosemide,54-31-9,Pharmaceutical,2.600375,1247.865,1506.5,41096,3442.795,Conditional
494,Sodium_dodecyl_sulfate,151-21-3,Surfactant,111.9275,96.74305,232.077,5879.33,566.836,
495,Phenolphthalein,77-09-8,Dye,4.65467,175.1855,8.229385,9665.63,297.1815,
496,Procymidone,32809-16-8,Microbiocide,11.9519,1000,331.4375,33533.55,279.2045,
497,Terbutylazine,5915-41-3,Herbicide,2.456575,1123.13,0.938072,38162.35,520.8875,
498,N-Methyldioctylamine,4455-26-9,Chemical intermediate,142.2515,1.387045,6.8822,15786.7,2201.225,
499,Aldrin,309-00-2,Pesticide,4.629085,1467.29,1388.23,40442.45,1832.695,
500,2-Ethoxyethyl_acetate,111-15-9,Solvent,94.49305,1000,0.0867404,622523.5,964.0725,
501,Nitrofurazone,59-87-0,Microbiocide,51.4616,214.0775,0.0208276,2424.785,2431.92,
502,1-Hexadecanol,36653-82-4,Food flavor fragrance,206.37,1000,1.803505,48515.25,1258.62,
503,Cyazofamid,120116-88-3,Microbiocide,174.225,0.6035365,3.78339,136.672,98.8379,
504,CP-122721,145742-28-5,Pharmaceutical,47.35505,0.161348,33.0822,12.23675,23.20035,
505,Potassium_perfluorooctanesulfonate,2795-39-3,Surfactant,1000,21.6314,1360.86,996.7695,2926.98,
506,Benzotrichloride,98-07-7,Chemical intermediate,156.422,1000,59.6457,46418.75,2674.7,
507,Iprodione,36734-19-7,Microbiocide,1.321275,1000,89.84775,32907.05,1780.65,
508,Oryzalin,19044-88-3,Herbicide,0.324006,102.237,154.4375,4565.54,27.16025,
509,Icaridin,119515-38-7,Pesticide,11.7046,1823.68,1000,55144.3,104.0105,
510,Phosmet,732-11-6,Pesticide,326.478,546.5635,1153.735,35923.4,85.0614,
511,Octylbicycloheptenedicarboximide,113-48-4,Chemical intermediate,0.01174795,154.391,21.3894,6101.845,13.703,
512,Dicumyl_peroxide,80-43-3,Chemical intermediate,0.7082285,1000,1000,34432.3,527.288,
513,"1,4-Benzoquinone",106-51-4,Chemical intermediate,1.34304,1421.575,1210,38848,1170,
514,Tamoxifen,10540-29-1,Pharmaceutical,15.09555,28.8229,176.2235,653.184,105.265,Possible
515,Carboxin,5234-68-4,Microbiocide,4.76392,178.269,45.40675,946.9895,1121.55,
516,Diniconazole,83657-24-3,Microbiocide,0.05331085,79.6106,180.966,4126.55,336.3385,
517,Ethoprop,13194-48-4,Pesticide,0.4169795,278.8205,84.74605,8290.605,144.254,
518,Theophylline,58-55-9,Pharmaceutical,12.03465,1000,399.0285,44079.05,595.9305,
519,Biphenyl,92-52-4,Chemical intermediate,277.331,1000,102.764,48952,1047.01,
520,Phenol,108-95-2,Chemical intermediate,550.5805,212.9745,1000,20294.5,599.9965,
521,2-Ethylhexanoic_acid,149-57-5,Chemical intermediate,136.8535,1164.165,414.8265,42216.15,3775.33,
522,Novaluron,116714-46-6,Pesticide,44.24805,493.7905,97.67675,7629.42,403.7525,
523,Methimazole,60-56-0,Pharmaceutical,48.7875,1182.1,1006.135,32532.45,3652.355,
524,Paraoxon,311-45-5,Pesticide,2.67309,205.171,50.98435,2302.17,2260.19,
525,Hydroxyflutamide,52806-53-8,Pharmaceutical,162.028,22.80345,38.0436,4833.16,672.709,
526,(E)-Anethole,4180-23-8,Food flavor fragrance,2.823925,1387.915,346.0305,39978.9,3844.615,
527,Nitrobenzene,98-95-3,Chemical intermediate,58.54835,1407.985,428.38,54155.3,3554.905,
