Chemical.Number	Chemical.Name	Peak_Frequency_up	Peak_Frequency_dn	Peak_Decay_Rise_Ratio_up	Total_Cells_zero	Peak_Frequency_zero
582	1-Chloro-4-nitrobenzene	4	4	4	4	4
583	Pirimiphos-methyl	4	4	4	4	4
584	Cyromazine	4	4	4	4	4
585	1-Chloro-2-nitrobenzene	4	4	4	4	4
586	Bisphenol_E	4	4	4	4	4
587	Dichlobenil	4	4	4	4	4
588	Sulfentrazone	4	4	4	4	4
589	"7,12-Dimethylbenz(a)anthracene"	4	4	4	4	4
590	1-Methoxy-2-propanol	4	4	4	4	4
591	Hydrochlorothiazide	4	4	4	4	4
592	FR900409	4	4	4	4	4
593	2-Methoxy-5-nitroaniline	4	4	4	4	4
594	Dipropylene_glycol	4	4	4	4	4
595	Asulam	4	4	4	4	4
596	Oxyphenisatin	4	4	4	4	4
597	Lactofen	4	4	4	4	4
598	Octanal	4	4	4	4	4
599	Dichloroacetic_acid	4	4	4	4	4
600	Acrylonitrile	4	4	4	4	4
601	Docusate_sodium	4	4	4	4	4
602	Sodium_dimethyldithiocarbamate	4	4	4	4	4
603	Bisphenol_B	4	4	4	4	4
604	Rotenone	4	4	4	4	4
605	Acetochlor	4	4	4	4	4
606	Dichlorodiphenyltrichloroethane	4	4	4	4	4
607	Chlorpyrifos	4	4	4	4	4
608	Phorate	4	4	4	4	4
609	Pentachloronitrobenzene	4	4	4	4	4
610	Boric_acid	4	4	4	4	4
611	"1,3-Dibromo-5,5-dimethylhydantoin"	4	4	4	4	4
612	Gemfibrozil	4	4	4	4	4
613	Fenpropathrin	4	4	4	4	4
614	"4,4'-Diaminobiphenyl_methane"	4	4	4	4	4
615	Ethion	4	4	4	4	4
616	4-Cumylphenol	4	4	4	4	4
617	tert-Butyl_perbenzoate	4	4	4	4	4
618	Mepiquat_chloride	4	4	4	4	4
619	D-Limonene	4	4	4	4	4
620	Estrone	4	4	4	4	4
621	l-Tryptophan	4	4	4	4	4
622	Diisobutyl_adipate	4	4	4	4	4
623	MCPA	4	4	4	4	4
624	Methylprednisolone	4	4	4	4	4
625	Pymetrozine	4	4	4	4	4
626	"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]"	4	4	4	4	4
627	Dichlorvos	4	4	4	4	4
628	Methoxychlor	4	4	4	4	4
629	Troglitazone	4	4	4	4	4
630	Flumetralin	4	4	4	4	4
631	Benz(a)anthracene	4	4	4	4	4
632	Geranyl_acetate	4	4	4	4	4
633	Tolcapone	4	4	4	4	4
634	Bis(2-ethylhexyl)hexanedioate	4	4	4	4	4
635	Pyrithiobac-sodium	4	4	4	4	4
636	hifensulfuron_methyl	4	4	4	4	4
637	C.I._Solvent_Yellow_14	4	4	4	4	4
638	Chlorhexidine_diacetate	4	4	4	4	4
639	1-Dodecyl-2-pyrrolidinone	4	4	4	4	4
640	Pentyl_acetate	4	4	4	4	4
641	Pentaerythritol_dibromide	4	4	4	4	4
642	Dicamba	4	4	4	4	4
643	Methyl_salicylate	4	4	4	4	4
644	"5,5-Dimethylhydantoin"	4	4	4	4	4
645	1-Benzylquinolinium_chloride	4	4	4	4	4
646	"2,4-Dichlorophenol"	4	4	4	4	4
647	Triticonazole	4	4	4	4	4
648	Nicotinic_acid	4	4	4	4	4
649	Azoxystrobin	4	4	4	4	4
650	Coumaphos	4	4	4	4	4
651	4-Ethyloct-1-yn-3-ol	4	4	4	4	4
652	Tannic_acid	4	4	4	4	4
653	Captan	4	4	4	4	4
654	Fluoxastrobin	4	4	4	4	4
655	Fenoxaprop-ethyl	4	4	4	4	4
656	tert-Butylbenzene	4	4	4	4	4
657	Fenbuconazole	4	4	4	4	4
658	Phenmedipham	4	4	4	4	4
659	Hexanoic_acid	4	4	4	4	4
660	"1,2,3-Trichloropropane"	4	4	4	4	4
661	N-Nitrosodipropylamine	4	4	4	4	4
662	Captafol	4	4	4	4	4
663	Ethylparaben	4	4	4	4	4
664	4-(Butan-2-yl)phenol	4	4	4	4	4
665	Sodium_chlorite	4	4	4	4	4
666	Cyanamide	4	4	4	4	4
667	Cloprop	4	4	4	4	4
668	"4,4'-Oxydianiline"	4	4	4	4	4
669	Heptanoic_acid	4	4	4	4	4
670	Malaoxon	4	4	4	4	4
671	Imidacloprid	4	4	4	4	4
672	Pentaerythritol	4	4	4	4	4
673	1-Tetradecanol	4	4	4	4	4
674	Retinol	4	4	4	4	4
675	Phenanthrene	4	4	4	4	4
676	Prochloraz	4	4	4	4	4
677	Thiacloprid	4	4	4	4	4
678	alpha-Isomethylionone	4	4	4	4	4
679	Flusilazole	4	4	4	4	4
680	Rhodamine_6G	4	4	4	4	4
681	Hexanedioic_acid	4	4	4	4	4
682	Dicofol	4	4	4	4	4
683	Myrcene	4	4	4	4	4
684	Bromocresol_green_sodium_salt	4	4	4	4	4
685	Imazethapyr	4	4	4	4	4
686	Propham	4	4	4	4	4
687	"2,5-Furandione"	4	4	4	4	4
688	"1,2,4-Trimethylbenzene"	4	4	4	4	4
689	Isooctyl_acrylate	4	4	4	4	4
690	Cycloate	4	4	4	4	4
691	17alpha-Estradiol	4	4	4	4	4
692	4-Nitrophenol	4	4	4	4	4
693	Dimethoxane	4	4	4	4	4
694	Diphenhydramine_hydrochloride	4	4	4	4	4
695	2-Phenoxyethanol	4	4	4	4	4
696	Carbendazim	4	4	4	4	4
697	Fenhexamid	4	4	4	4	4
698	Fluazinam	4	4	4	4	4
699	Tetramethrin	4	4	4	4	4
700	2-Phenylphenol	4	4	4	4	4
701	Linuron	4	4	4	4	4
702	Atrazine	4	4	4	4	4
703	Tebuthiuron	4	4	4	4	4
704	"2,2'-[Ethane-1,2-diylbis(oxy)]diethanamine"	4	4	4	4	4
705	Pimozide	4	4	4	4	4
706	Diclofenac	4	4	4	4	4
707	"3,4-Dimethylphenol"	4	4	4	4	4
708	Caffeine	4	4	4	4	4
709	Thiabendazole	4	4	4	4	4
710	"1,3-Dichlorobenzene"	4	4	4	4	4
711	Tris(2-ethylhexyl)_trimellitate	4	4	4	4	4
712	5alpha-Dihydrotestosterone	4	4	4	4	4
713	Triamcinolone	4	4	4	4	4
714	Prometryn	4	4	4	4	4
715	"4,4'-(Isopropylidenebis(4,1-phenyleneoxy))dianiline"	4	4	4	4	4
716	Propyl_gallate	4	4	4	4	4
717	"1,2-Dimethyl-3-nitrobenzene"	4	4	4	4	4
718	Ammonium_sulfamate	4	4	4	4	4
719	Dicloran	4	4	4	4	4
720	Glycidol	4	4	4	4	4
721	Lovastatin	4	4	4	4	4
722	Diquat_dibromide_monohydrate	4	4	4	4	4
723	Diazinon	4	4	4	4	4
724	Clothianidin	4	4	4	4	4
725	meso-Hexestrol	4	4	4	4	4
726	Oxytetracycline_dihydrate	4	4	4	4	4
727	Propachlor	4	4	4	4	4
728	Tris(2-chloroethyl)_phosphate	4	4	4	4	4
729	Resmethrin	4	4	4	4	4
730	Silica	4	4	4	4	4
731	Fenoxycarb	4	4	4	4	4
732	"1,2-Dinitrobenzene"	4	4	4	4	4
733	Cyanazine	4	4	4	4	4
734	Difenzoquat_metilsulfate	4	4	4	4	4
735	Michler's_ketone	4	4	4	4	4
736	"N,N'-Methylenebisacrylamide"	4	4	4	4	4
737	"2-Norbornene-5,6-dicarboxylic_anhydride"	4	4	4	4	4
738	Monuron	4	4	4	4	4
739	Diethylene_glycol	4	4	4	4	4
740	Prodiamine	4	4	4	4	4
741	Quinoline	4	4	4	4	4
742	Hexachlorocyclopentadiene	4	4	4	4	4
743	Tralkoxydim	4	4	4	4	4
744	Diallyl_phthalate	4	4	4	4	4
745	Carbaryl	4	4	4	4	4
746	"N-Phenyl-1,4-benzenediamine"	4	4	4	4	4
747	Difenoconazole	4	4	4	4	4
748	Perfluorooctanesulfonic_acid	4	4	4	4	4
749	Azinphos-methyl	4	4	4	4	4
750	Famoxadone	4	4	4	4	4
751	Colchicine	4	4	4	4	4
752	Ethofumesate	4	4	4	4	4
753	Clomazone	4	4	4	4	4
754	Levothyroxine	4	4	4	4	4
755	Folic_acid	4	4	4	4	4
756	Propamocarb_hydrochloride	4	4	4	4	4
757	"2,6-Di-tert-butylphenol"	4	4	4	4	4
758	Vernolate	4	4	4	4	4
759	"o,p'-DDT"	4	4	4	4	4
760	Perfluorodecanoic_acid	4	4	4	4	4
761	Pyrene	4	4	4	4	4
762	Fosthiazate	4	4	4	4	4
763	Isoeugenol	4	4	4	4	4
764	Bentazone	4	4	4	4	4
765	Metolachlor	4	4	4	4	4
766	Acifluorfen	4	4	4	4	4
767	Dithiopyr	4	4	4	4	4
768	Aldoxycarb	4	4	4	4	4
769	Naled	4	4	4	4	4
770	Candoxatril	4	4	4	4	4
771	Acetyl_tributyl_citrate	4	4	4	4	4
772	Malic_acid	4	4	4	4	4
773	Diethylene_glycol_dibenzoate	4	4	4	4	4
774	Etoxazole	4	4	4	4	4
775	"2,3-Diaminotoluene"	4	4	4	4	4
776	Benodanil	4	4	4	4	4
777	Ranitidine	4	4	4	4	4
778	Thiamethoxam	4	4	4	4	4
779	Methyl_parathion	4	4	4	4	4
780	Anthracene	4	4	4	4	4
781	Lindane	4	4	4	4	4
782	Acetaminophen	4	4	4	4	4
783	Naproxen	4	4	4	4	4
784	Butylate	4	4	4	4	4
785	Dimethyl_sulfate	4	4	4	4	4
786	N-Vinyl-2-pyrrolidone	4	4	4	4	4
787	Darbufelone_mesylate	4	4	4	4	4
788	Triclopyr	4	4	4	4	4
789	1-Undecanol	4	4	4	4	4
790	Bicalutamide	4	4	4	4	4
791	Flumetsulam	4	4	4	4	4
792	m-Cresol	4	4	4	4	4
793	Tolbutamide	4	4	4	4	4
794	Benomyl	4	4	4	4	4
795	"2,4,5-Trichlorophenol"	4	4	4	4	4
796	"1,3-Dinitrobenzene"	4	4	4	4	4
797	Triclosan	4	4	4	4	4
798	Physostigmine	4	4	4	4	4
799	Acetic_acid	4	4	4	4	4
800	3-Pyridinecarbonitrile	4	4	4	4	4
801	Dimethylcarbamoyl_chloride	4	4	4	4	4
802	Urea	4	4	4	4	4
803	Hydroquinone	4	4	4	4	4
804	"2,4,7,9-Tetramethyl-5-decyne-4,7-diol"	4	4	4	4	4
805	Triclocarban	4	4	4	4	4
806	2-Naphthalenol	4	4	4	4	4
807	Allura_Red_C.I.16035	4	4	4	4	4
808	Iopanoic_acid	4	4	4	4	4
809	Raloxifene_hydrochloride	4	4	4	4	4
810	Haloxyfop-methyl	4	4	4	4	4
811	Cyproterone_acetate	4	4	4	4	4
812	"2,5-Di-tert-butylbenzene-1,4-diol"	4	4	4	4	4
813	"1,3-Dichloro-5,5-dimethylhydantoin"	4	4	4	4	4
814	Methacrylamide	4	4	4	4	4
815	Acenaphthene	4	4	4	4	4
816	Disulfiram	4	4	4	4	4
817	Tebupirimfos	4	4	4	4	4
818	Dibromoacetonitrile	4	4	4	4	4
819	2-Chloroacetophenone	4	4	4	4	4
820	Apigenin	4	4	4	4	4
821	Octrizole	4	4	4	4	4
822	N-Methylacetamide	4	4	4	4	4
823	Medroxyprogesterone_acetate	4	4	4	4	4
824	Methamidophos	4	4	4	4	4
825	FD&C_Yellow_5	4	4	4	4	4
826	8_2_Fluorotelomer_alcohol	4	4	4	4	4
827	Pyrimethamine	4	4	4	4	4
828	Cyanogen_bromide	4	4	4	4	4
829	Flufenacet	4	4	4	4	4
830	"Sorbitan,_mono-(9Z)-9-octadecenoate"	4	4	4	4	4
831	Mevinphos	4	4	4	4	4
832	Indomethacin	4	4	4	4	4
833	"2,4-Di-tert-pentylphenol"	4	4	4	4	4
834	Sodium_myristyl_sulfate	4	4	4	4	4
835	Octabenzone	4	4	4	4	4
836	Propazine	4	4	4	4	4
837	Glipizide	4	4	4	4	4
838	Citric_acid	4	4	4	4	4
839	"1,2-Benzenedicarboxaldehyde"	4	4	4	4	4
840	Trifluralin	4	4	4	4	4
841	2-tert-Butyl-4-ethylphenol	4	4	4	4	4
842	Volinanserin	4	4	4	4	4
843	17beta-Trenbolone	4	4	4	4	4
844	Deltamethrin	4	4	4	4	4
845	"1,3-Benzenedicarboxylic_acid"	4	4	4	4	4
846	Progesterone	4	4	4	4	4
847	"1,2-Benzenedicarboxylic_acid,_di-C9-11-branched_alkyl_esters,_C10-rich"	4	4	4	4	4
848	2-Aminoanthraquinone	4	4	4	4	4
849	"2,5-Dimethylphenol"	4	4	4	4	4
850	Heptachlor_epoxide	4	4	4	4	4
851	2-(Phenylmethylene)octanal	4	4	4	4	4
852	Phosphoric_acid	4	4	4	4	4
853	Dimethylamine	4	4	4	4	4
854	Sucrose	4	4	4	4	4
855	Hexadecane	4	4	4	4	4
856	"1H-1,2,4-Triazole"	4	4	4	4	4
857	Dodecylbenzene	4	4	4	4	4
858	"2,3,4-Trihydroxbenzophenone"	4	4	4	4	4
859	"2,4-Dichlorophenoxybutyric_acid"	4	4	4	4	4
860	Eugenol	4	4	4	4	4
861	"2,4,6-Trimethylphenol"	4	4	4	4	4
862	Benfluralin	4	4	4	4	4
863	Dipentyl_phthalate	4	4	4	4	4
864	Chloroneb	4	4	4	4	4
865	Triethylene_glycol	4	4	4	4	4
866	Fluazifop-P-butyl	4	4	4	4	4
867	Sodium_nitrite	4	4	4	4	4
868	Umbelliferone	4	4	4	4	4
869	Thiophanate-methyl	4	4	4	4	4
870	1-Dodecanol	4	4	4	4	4
871	Endosulfan	4	4	4	4	4
872	6-Propyl-2-thiouracil	4	4	4	4	4
873	Basic_Blue_7	4	4	4	4	4
874	1-[3-(Triethoxysilyl)propyl]urea	4	4	4	4	4
875	Tributyltin_chloride	4	4	4	4	4
876	Sodium_benzoate	4	4	4	4	4
877	Bis(2-ethylhexyl)_terephthalate	4	4	4	4	4
878	"2-(Hydroxymethyl)-2-nitro-1,3-propanediol"	4	4	4	4	4
879	Sodium_xylenesulfonate	4	4	4	4	4
880	3-Methylaniline	4	4	4	4	4
881	"2,4-Dinitrophenol"	4	4	4	4	4
882	"Hexachloro-1,3-butadiene"	4	4	4	4	4
883	2-[2-(2-Butoxyethoxy)ethoxy]ethanol	4	4	4	4	4
884	Chlorthal-dimethyl	4	4	4	4	4
885	Dinoseb	4	4	4	4	4
886	Exifone	4	4	4	4	4
887	1-Decanol	4	4	4	4	4
888	"(E)-1,2-Dichloroethylene"	4	4	4	4	4
889	9-Phenanthrol	4	4	4	4	4
890	Dimethyl_terephthalate	4	4	4	4	4
891	2-Anisidine	4	4	4	4	4
892	Daminozide	4	4	4	4	4
893	Nonanoic_acid	4	4	4	4	4
894	Methyl_octanoate	4	4	4	4	4
895	SSR_241586_HCl	4	4	4	4	4
896	Acibenzolar-S-methyl	4	4	4	4	4
897	"1,2,4-Trichlorobenzene"	4	4	4	4	4
898	Diphenamid	4	4	4	4	4
899	Parathion	4	4	4	4	4
900	Propetamphos	4	4	4	4	4
901	Benzyl_butyl_phthalate	4	4	4	4	4
902	Phosalone	4	4	4	4	4
903	4-Nitrosodiphenylamine	4	4	4	4	4
904	Sodium_hexyldecyl_sulfate	4	4	4	4	4
905	Azobenzene	4	4	4	4	4
906	Pirinixic_acid	4	4	4	4	4
907	Theobromine	4	4	4	4	4
908	1-Methylnaphthalene	4	4	4	4	4
909	Benzo(b)fluoranthene	4	4	4	4	4
910	1-Octanol	4	4	4	4	4
911	Ketoconazole	4	4	4	4	4
912	Sodium_fluoroacetate	4	4	4	4	4
913	MCPB	4	4	4	4	4
914	Benzidine	4	4	4	4	4
915	"2,2'-Bisphenol_F"	4	4	4	4	4
916	Abamectin	4	4	4	4	4
917	Benzoic_acid	4	4	4	4	4
918	Methyl_dodecanoate	4	4	4	4	4
919	4-Vinyl-1-cyclohexene_dioxide	4	4	4	4	4
920	Erythromycin	4	4	4	4	4
921	Amitraz	4	4	4	4	4
922	Dieldrin	4	4	4	4	4
923	Pentachlorophenol	4	4	4	4	4
924	Geraniol	4	4	4	4	4
925	4-Chloro-3-methylphenol	4	4	4	4	4
926	Profenofos	4	4	4	4	4
927	"2,2',6,6'-Tetrachlorobisphenol_A"	4	4	4	4	4
928	Digoxin	4	4	4	4	4
929	Pravastatin_sodium	4	4	4	4	4
930	Diphenyl_phthalate	4	4	4	4	4
931	Anilazine	4	4	4	4	4
932	Chloramphenicol	4	4	4	4	4
933	"1,2,4,5-Tetrachlorobenzene"	4	4	4	4	4
934	Malathion	4	4	4	4	4
935	Sodium_L-ascorbate	4	4	4	4	4
936	Niclosamide	4	4	4	4	4
937	4-Aminobenzoic_acid	4	4	4	4	4
938	Butyryl_trihexyl_citrate	4	4	4	4	4
939	Carbofuran	4	4	4	4	4
940	Tris(2-ethylhexyl)_phosphate	4	4	4	4	4
941	Monomethyl_phthalate	4	4	4	4	4
942	Napropamide	4	4	4	4	4
943	Trinexapac-ethyl	4	4	4	4	4
944	Caprolactam	4	4	4	4	4
945	Endrin	4	4	4	4	4
946	Allethrin	4	4	4	4	4
947	Flutolanil	4	4	4	4	4
948	Glycerol	4	4	4	4	4
949	2-(2-Butoxyethoxy)ethanol	4	4	4	4	4
950	Fluorene	4	4	4	4	4
951	1-Pentadecanol	4	4	4	4	4
952	Dimethyl_glutarate	4	4	4	4	4
953	"2,6,10-Trimethyl-2,6,10-triazaundecane"	4	4	4	4	4
954	Cyanuric_acid	4	4	4	4	4
955	Propoxur	4	4	4	4	4
956	Zearalenone	4	4	4	4	4
957	Chrysin	4	4	4	4	4
958	"Dibenz(a,h)anthracene"	4	4	4	4	4
959	Bis(4-hydroxyphenyl)methane	4	4	4	4	4
960	Haloperidol	4	4	4	4	4
961	"p,p'-DDE"	4	4	4	4	4
962	2-[(4-Hydroxyphenyl)methyl]phenol	4	4	4	4	4
963	Prednisolone	4	4	4	4	4
964	Thiodicarb	4	4	4	4	4
965	Mesotrione	4	4	4	4	4
966	Decanoic_acid	4	4	4	4	4
967	6-Methylquinoline	4	4	4	4	4
968	4-Butyrolactone	4	4	4	4	4
969	Naphthalene	4	4	4	4	4
970	Trioctyl_trimellitate	4	4	4	4	4
971	Propargite	4	4	4	4	4
972	Bromacil	4	4	4	4	4
973	Fluridone	4	4	4	4	4
974	"2,6-Dimethylphenol"	4	4	4	4	4
975	Isopropalin	4	4	4	4	4
976	Disulfoton	4	4	4	4	4
977	N-Nitrosodiphenylamine	4	4	4	4	4
978	Pentachlorobenzene	4	4	4	4	4
979	FD&C_Yellow_6	4	4	4	4	4
980	Cumene_hydroperoxide	4	4	4	4	4
981	Bromoxynil	4	4	4	4	4
982	Dimethylaminoethanol	4	4	4	4	4
983	Di-tert-butyl_peroxide	4	4	4	4	4
984	Dimethyl_phthalate	4	4	4	4	4
985	Dodecylbenzenesulfonic_acid	4	4	4	4	4
986	Clopyralid-olamine	4	4	4	4	4
987	"2,4,5-Trichlorophenoxyacetic_acid"	4	4	4	4	4
988	Finasteride	4	4	4	4	4
989	4-Nitrotoluene	4	4	4	4	4
990	Atenolol	4	4	4	4	4
991	"1,3-Butanediol"	4	4	4	4	4
992	Buspirone	4	4	4	4	4
993	Catechol	4	4	4	4	4
994	Etridiazole	4	4	4	4	4
995	Isazofos	4	4	4	4	4
996	Pentanal	4	4	4	4	4
997	Thiazopyr	4	4	4	4	4
998	"2,2-Dibromo-3-nitrilopropionamide"	4	4	4	4	4
999	2-Methyl-5-nitroaniline	4	4	4	4	4
1000	Triadimefon	4	4	4	4	4
1001	Phenol_Red_sodium_salt	4	4	4	4	4
1002	Sodium_azide	4	4	4	4	4
1003	Chlorobenzilate	4	4	4	4	4
1004	2-[2-(2-Ethoxyethoxy)ethoxy]ethanol	4	4	4	4	4
1005	Picloram	4	4	4	4	4
1006	4-Chlorophenyl_methyl_sulfone	4	4	4	4	4
1007	Bepridil	4	4	4	4	4
1008	Dofetilide	4	4	4	4	4
1009	Quinidine	4	4	4	4	4
1010	"D,1_Sotalol"	4	4	4	4	4
1011	Azimilide	4	4	4	4	4
1012	Ibutilide	4	4	4	4	4
1013	Vandetanib	4	4	4	4	4
1014	Disopyramide	4	4	4	4	4
1015	Cisapride	4	4	4	4	4
1016	Terfenadine	4	4	4	4	4
1017	Ondansetron	4	4	4	4	4
1018	Astemizole	4	4	4	4	4
1019	Clarithromycin	4	4	4	4	4
1020	Clozapine	4	4	4	4	4
1021	Domperidone	4	4	4	4	4
1022	Droperidol	4	4	4	4	4
1023	Risperidone	4	4	4	4	4
1024	Mexiletine	4	4	4	4	4
1025	Ranolazine	4	4	4	4	4
1026	Verapamil	4	4	4	4	4
1027	Loratadine	4	4	4	4	4
1028	Nifedipine	4	4	4	4	4
1029	Nitrendipine	4	4	4	4	4
1030	Bifenazate_Replicate	4	4	4	4	4
1031	"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)_Replicate"	4	4	4	4	4
1032	Dichlorophen_Replicate	4	4	4	4	4
1033	Fenpropathrin_Replicate	4	4	4	4	4
1034	Isooctyl_acrylate_Replicate	4	4	4	4	4
1035	Glycidol_Replicate	4	4	4	4	4
1036	1-Tridecanol_Replicate	4	4	4	4	4
1037	Pyrimethanil_Replicate	4	4	4	4	4
1038	Coumarin_Replicate	4	4	4	4	4
1039	Fenthion_Replicate	4	4	4	4	4
1040	Chlorendic_acid_Replicate	4	4	4	4	4
1041	TAB_Control	4	4	4	4	4
1042	Isoproterenol_hydrochloride_Control	4	4	4	4	4
1043	Propranolol_Control	4	4	4	4	4
1044	Cisapride_Control	4	4	4	4	4
1045	N-acetylprocainamide_Control	4	4	4	4	4
1046	Sematilide_Control	4	4	4	4	4
1047	Sotalol_Control	4	4	4	4	4
1048	Mifepristone_Control	4	4	4	4	4
1049	Cabazitaxel_Control	4	4	4	4	4
1050	Lamotrigine_Control	4	4	4	4	4
